date,time,turn,room,format,winner,reason,corp,runner
20210204,19,18,casual,standard,runner,Agenda,Tennin Institute: The Secrets Within,Null: Whistleblower
20210204,32,27,casual,standard,corp,Flatline,Seidr Laboratories: Destiny Defined,Hoshiko Shiro: Untold Protagonist
20210204,12,14,casual,standard,corp,Agenda,Titan Transnational: Investing In Your Future,Az McCaffrey: Mechanical Prodigy
20210204,5,9,casual,standard,runner,Agenda,Jinteki: Personal Evolution,Valencia Estevez: The Angel of Cayambe
20210204,17,14,casual,standard,corp,Agenda,Blue Sun: Powering the Future,Alice Merchant: Clan Agitator
20210204,91,12,casual,standard,corp,Agenda,Titan Transnational: Investing In Your Future,Leela Patel: Trained Pragmatist
20210204,21,19,casual,standard,corp,Concede,Jinteki: Replicating Perfection,Edward Kim: Humanity's Hammer
20210204,20,10,casual,standard,corp,Concede,The Outfit: Family Owned and Operated,419: Amoral Scammer
20210204,7,10,casual,standard,corp,Flatline,Jinteki: Personal Evolution,Alice Merchant: Clan Agitator
20210204,20,8,competitive,standard,runner,Agenda,Asa Group: Security Through Vigilance,Hoshiko Shiro: Untold Protagonist
20210204,53,13,casual,standard,corp,Agenda,Asa Group: Security Through Vigilance,419: Amoral Scammer
20210204,20,16,casual,standard,runner,Agenda,NBN: Making News,Hoshiko Shiro: Untold Protagonist
20210204,7,9,casual,standard,corp,Concede,Acme Consulting: The Truth You Need,Hoshiko Shiro: Untold Protagonist
20210204,4,4,casual,standard,corp,Flatline,Jinteki: Personal Evolution,Valencia Estevez: The Angel of Cayambe
20210204,18,12,casual,standard,corp,Flatline,NBN: Controlling the Message,Kabonesa Wu: Netspace Thrillseeker
20210204,80,20,casual,standard,runner,Agenda,Jinteki: Personal Evolution,Hayley Kaplan: Universal Scholar
20210204,11,9,casual,standard,corp,Flatline,Jinteki: Personal Evolution,419: Amoral Scammer
20210204,21,15,casual,standard,corp,Concede,Haas-Bioroid: Architects of Tomorrow,Freedom Khumalo: Crypto-Anarchist
20210204,10,10,casual,standard,corp,Concede,Asa Group: Security Through Vigilance,Hoshiko Shiro: Untold Protagonist
20210204,49,7,casual,standard,corp,Flatline,Jinteki: Replicating Perfection,Jesminder Sareen: Girl Behind the Curtain
20210204,15,17,casual,standard,corp,Agenda,Weyland Consortium: Builder of Nations,Alice Merchant: Clan Agitator
20210204,48,14,casual,casual,runner,Concede,GameNET: Where Dreams are Real,Chaos Theory: Wünderkind
20210204,10,11,casual,standard,corp,Agenda,NBN: Making News,Kabonesa Wu: Netspace Thrillseeker
20210204,9,13,casual,standard,runner,Concede,Acme Consulting: The Truth You Need,Valencia Estevez: The Angel of Cayambe
20210204,18,19,casual,eternal,corp,Agenda,Haas-Bioroid: Engineering the Future,Gabriel Santiago: Consummate Professional
20210204,21,8,competitive,standard,runner,Agenda,Pālanā Foods: Sustainable Growth,Hoshiko Shiro: Untold Protagonist
20210204,16,12,casual,standard,corp,Flatline,Pālanā Foods: Sustainable Growth,Kabonesa Wu: Netspace Thrillseeker
20210204,19,15,casual,standard,corp,Agenda,Asa Group: Security Through Vigilance,419: Amoral Scammer
20210204,9,9,casual,eternal,runner,Agenda,Haas-Bioroid: Engineering the Future,Gabriel Santiago: Consummate Professional
20210204,4,5,casual,standard,corp,Concede,Asa Group: Security Through Vigilance,Edward Kim: Humanity's Hammer
20210204,7,6,casual,standard,corp,Concede,Jinteki: Replicating Perfection,Kabonesa Wu: Netspace Thrillseeker
20210204,19,18,casual,standard,runner,Agenda,Jinteki: Personal Evolution,Az McCaffrey: Mechanical Prodigy
20210204,12,12,casual,standard,corp,Agenda,AgInfusion: New Miracles for a New World,Quetzal: Free Spirit
20210204,13,13,casual,standard,corp,Concede,The Outfit: Family Owned and Operated,Kabonesa Wu: Netspace Thrillseeker
20210204,10,8,casual,standard,corp,Concede,NBN: Controlling the Message,Hayley Kaplan: Universal Scholar
20210204,3,3,casual,standard,corp,Flatline,Weyland Consortium: Building a Better World,Kabonesa Wu: Netspace Thrillseeker
20210204,7,6,casual,standard,corp,Concede,Jinteki: Replicating Perfection,Az McCaffrey: Mechanical Prodigy
20210204,6,9,casual,standard,runner,Concede,Weyland Consortium: Building a Better World,Quetzal: Free Spirit
20210204,12,11,casual,standard,runner,Agenda,Jinteki: Replicating Perfection,Valencia Estevez: The Angel of Cayambe
20210204,13,7,casual,standard,runner,Agenda,Hyoubu Institute: Absolute Clarity,Lat: Ethical Freelancer
20210204,35,13,casual,casual,corp,Flatline,"SYNC: Everything, Everywhere",Freedom Khumalo: Crypto-Anarchist
20210204,6,7,casual,standard,corp,Concede,NBN: Controlling the Message,Edward Kim: Humanity's Hammer
20210204,7,10,casual,standard,corp,Agenda,Pālanā Foods: Sustainable Growth,Quetzal: Free Spirit
20210204,10,12,casual,standard,corp,Concede,NBN: Controlling the Message,Kabonesa Wu: Netspace Thrillseeker
20210204,24,18,casual,standard,runner,Agenda,GameNET: Where Dreams are Real,Valencia Estevez: The Angel of Cayambe
20210204,10,12,casual,standard,runner,Concede,"SYNC: Everything, Everywhere",Freedom Khumalo: Crypto-Anarchist
20210204,15,17,casual,standard,runner,Agenda,Weyland Consortium: Building a Better World,Az McCaffrey: Mechanical Prodigy
20210204,10,11,casual,standard,runner,Agenda,Argus Security: Protection Guaranteed,Freedom Khumalo: Crypto-Anarchist
20210204,15,9,casual,standard,runner,Agenda,SSO Industries: Fueling Innovation,Hoshiko Shiro: Untold Protagonist
20210204,59,19,casual,standard,runner,Agenda,Tennin Institute: The Secrets Within,Chaos Theory: Wünderkind
20210204,4,8,casual,standard,corp,Concede,SSO Industries: Fueling Innovation,Freedom Khumalo: Crypto-Anarchist
20210204,10,15,casual,standard,runner,Agenda,Weyland Consortium: Building a Better World,Kabonesa Wu: Netspace Thrillseeker
20210204,9,9,casual,standard,corp,Flatline,Blue Sun: Powering the Future,Edward Kim: Humanity's Hammer
20210204,16,18,casual,standard,corp,Concede,The Outfit: Family Owned and Operated,419: Amoral Scammer
20210204,24,14,casual,standard,runner,Concede,Acme Consulting: The Truth You Need,419: Amoral Scammer
20210204,6,7,casual,standard,corp,Flatline,Weyland Consortium: Building a Better World,Gabriel Santiago: Consummate Professional
20210204,36,23,casual,standard,corp,Agenda,Spark Agency: Worldswide Reach,Alice Merchant: Clan Agitator
20210204,13,15,casual,standard,runner,Concede,Pālanā Foods: Sustainable Growth,Hayley Kaplan: Universal Scholar
20210204,39,30,casual,standard,runner,Agenda,Cybernetics Division: Humanity Upgraded,Leela Patel: Trained Pragmatist
20210204,23,11,casual,standard,corp,Agenda,"SYNC: Everything, Everywhere",Chaos Theory: Wünderkind
20210204,10,15,casual,standard,runner,Concede,Weyland Consortium: Builder of Nations,Hoshiko Shiro: Untold Protagonist
20210204,22,16,casual,standard,corp,Flatline,Jinteki: Personal Evolution,Adam: Compulsive Hacker
20210204,56,15,casual,standard,corp,Concede,Jinteki: Replicating Perfection,Hayley Kaplan: Universal Scholar
